Type_Kendaraan,Warna_Kendaraan,Arah_Kendaraan,Kecepatan_Kendaraan(km/h)
mobil,putih,bawah,n.a.
mobil,putih,atas,n.a.
mobil,putih,bawah,n.a.
mobil,putih,atas,n.a.
mobil,putih,atas,n.a.
motor,putih,bawah,n.a.
mobil,putih,bawah,46.38940850893657
mobil,putih,atas,n.a.
mobil,putih,atas,n.a.
mobil,putih,bawah,n.a.
mobil,putih,atas,n.a.
mobil,putih,atas,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,oranye,bawah,n.a.
mobil,kuning,bawah,n.a.
truk,hitam,bawah,n.a.
mobil,hitam,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,atas,n.a.
mobil,putih,atas,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,hitam,bawah,48.557227055231735
mobil,putih,atas,n.a.
mobil,putih,bawah,3.176424105962117
mobil,putih,atas,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,atas,n.a.
mobil,putih,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,atas,n.a.
mobil,hitam,bawah,n.a.
mobil,putih,bawah,n.a.
mobil,putih,atas,n.a.
mobil,putih,atas,n.a.
mobil,merah,bawah,n.a.
truk,hitam,bawah,n.a.
